State,County,Subdivision,Jurisdiction Type,FIPS,Website
Nevada,,State Ordinance,State,32,
Nevada,,Pueblo Valley,Groundwater Basin,001,
Nevada,,Continental Lake Valley,Groundwater Basin,002,
Nevada,,Gridley Lake Valley,Groundwater Basin,003,
Nevada,,Virgin Valley,Groundwater Basin,004,
Nevada,,Sage Hen Valley,Groundwater Basin,005,
Nevada,,Guano Valley,Groundwater Basin,006,
Nevada,,Swan Lake Valley,Groundwater Basin,007,
Nevada,,Massacre Lake Valley,Groundwater Basin,008,
Nevada,,Long Valley,Groundwater Basin,009,
Nevada,,Macy Flat,Groundwater Basin,010,
Nevada,,Coleman Valley,Groundwater Basin,011,
Nevada,,Mosquito Valley,Groundwater Basin,012,
Nevada,,Warner Valley,Groundwater Basin,013,
Nevada,,Surprise Valley,Groundwater Basin,014,
Nevada,,Boulder Valley,Groundwater Basin,015,
Nevada,,Duck Lake Valley,Groundwater Basin,016,
Nevada,,Pilgrim Flat,Groundwater Basin,017,
Nevada,,Painter Flat,Groundwater Basin,018,
Nevada,,Dry Valley - 019,Groundwater Basin,019,
Nevada,,Sano Valley,Groundwater Basin,020,
Nevada,,Smoke Creek Desert,Groundwater Basin,021,
Nevada,,San Emidio Desert,Groundwater Basin,022,
Nevada,,Granite Basin,Groundwater Basin,023,
Nevada,,Hualapai Flat,Groundwater Basin,024,
Nevada,,High Rock Lake Valley,Groundwater Basin,025,
Nevada,,Mud Meadow,Groundwater Basin,026,
Nevada,,Summit Lake Valley,Groundwater Basin,027,
Nevada,,Black Rock Desert,Groundwater Basin,028,
Nevada,,Pine Forest Valley,Groundwater Basin,029,
Nevada,,Kings River Valley-Rio King Sub-Area,Groundwater Basin,030A,
Nevada,,Kings River Valley-Sod House Sub-Area,Groundwater Basin,030B,
Nevada,,Desert Valley,Groundwater Basin,031,
Nevada,,Silver State Valley,Groundwater Basin,032,
Nevada,,Quinn River Valley-Orovada Sub-Area,Groundwater Basin,033A,
Nevada,,Quinn River Valley-McDermitt Sub-Area,Groundwater Basin,033B,
Nevada,,Little Owyhee River Area,Groundwater Basin,034,
Nevada,,South Fork Owyhee River Area,Groundwater Basin,035,
Nevada,,Independence Valley,Groundwater Basin,036,
Nevada,,Owyhee River Area,Groundwater Basin,037,
Nevada,,Bruneau River Area,Groundwater Basin,038,
Nevada,,Jarbidge River Area,Groundwater Basin,039,
Nevada,,Salmon Creek Area,Groundwater Basin,040,
Nevada,,Goose Creek Area,Groundwater Basin,041,
Nevada,,Marys River Area,Groundwater Basin,042,
Nevada,,Starr Valley,Groundwater Basin,043,
Nevada,,North Fork Area,Groundwater Basin,044,
Nevada,,Lamoille Valley,Groundwater Basin,045,
Nevada,,South Fork Area,Groundwater Basin,046,
Nevada,,Huntington Valley,Groundwater Basin,047,
Nevada,,Dixie Creek Area-Tenmile Creek Area,Groundwater Basin,048,
Nevada,,Elko Segment,Groundwater Basin,049,
Nevada,,Susie Creek Area,Groundwater Basin,050,
Nevada,,Maggie Creek Area,Groundwater Basin,051,
Nevada,,Marys Creek Area,Groundwater Basin,052,
Nevada,,Pine Valley,Groundwater Basin,053,
Nevada,,Crescent Valley,Groundwater Basin,054,
Nevada,,Carico Lake Valley,Groundwater Basin,055,
Nevada,,Upper Reese River Valley,Groundwater Basin,056,
Nevada,,Middle Reese River Valley,Groundwater Basin,058,
Nevada,,Lower Reese River Valley,Groundwater Basin,059,
Nevada,,Whirlwind Valley,Groundwater Basin,060,
Nevada,,Boulder Flat,Groundwater Basin,061,
Nevada,,Rock Creek Valley,Groundwater Basin,062,
Nevada,,Willow Creek,Groundwater Basin,063,
Nevada,,Clovers Area,Groundwater Basin,064,
Nevada,,Pumpernickel Valley,Groundwater Basin,065,
Nevada,,Kelley Creek Valley,Groundwater Basin,066,
Nevada,,Little Humboldt Valley,Groundwater Basin,067,
Nevada,,Hardscrabble Area,Groundwater Basin,068,
Nevada,,Paradise Valley,Groundwater Basin,069,
Nevada,,Winnemucca Segment,Groundwater Basin,070,
Nevada,,Grass Valley - 071,Groundwater Basin,071,
Nevada,,Imlay Area,Groundwater Basin,072,
Nevada,,Lovelock Valley,Groundwater Basin,073,
Nevada,,Lovelock Valley-Oreana Sub-Area,Groundwater Basin,073A,
Nevada,,White Plains,Groundwater Basin,074,
Nevada,,Brady Hot Springs Area,Groundwater Basin,075,
Nevada,,Fernley Area,Groundwater Basin,076,
Nevada,,Fireball Valley,Groundwater Basin,077,
Nevada,,Granite Springs Valley,Groundwater Basin,078,
Nevada,,Kumiva Valley,Groundwater Basin,079,
Nevada,,Winnemucca Lake Valley,Groundwater Basin,080,
Nevada,,Pyramid Lake Valley,Groundwater Basin,081,
Nevada,,Dodge Flat,Groundwater Basin,082,
Nevada,,Tracy Segment,Groundwater Basin,083,
Nevada,,Warm Springs Valley,Groundwater Basin,084,
Nevada,,Spanish Springs Valley,Groundwater Basin,085,
Nevada,,Sun Valley,Groundwater Basin,086,
Nevada,,Truckee Meadows,Groundwater Basin,087,
Nevada,,Pleasant Valley - 088,Groundwater Basin,088,
Nevada,,Washoe Valley,Groundwater Basin,089,
Nevada,,Lake Tahoe Basin,Groundwater Basin,090,
Nevada,,Truckee Canyon Segment,Groundwater Basin,091,
Nevada,,Lemmon Valley-Western Part,Groundwater Basin,092A,
Nevada,,Lemmon Valley-Eastern Part,Groundwater Basin,092B,
Nevada,,Antelope Valley - 093,Groundwater Basin,093,
Nevada,,Bedell Flat,Groundwater Basin,094,
Nevada,,Dry Valley - 095,Groundwater Basin,095,
Nevada,,Newcomb Lake Valley,Groundwater Basin,096,
Nevada,,Honey Lake Valley,Groundwater Basin,097,
Nevada,,Skedaddle Creek Valley,Groundwater Basin,098,
Nevada,,Red Rock Valley,Groundwater Basin,099,
Nevada,,Cold Springs Valley,Groundwater Basin,100,
Nevada,,Cold Springs Valley-Long Valley,Groundwater Basin,100A,
Nevada,,Carson Desert,Groundwater Basin,101,
Nevada,,Carson Desert-Parkard Valley,Groundwater Basin,101A,
Nevada,,Churchill Valley,Groundwater Basin,102,
Nevada,,Dayton Valley,Groundwater Basin,103,
Nevada,,Eagle Valley - 104,Groundwater Basin,104,
Nevada,,Carson Valley,Groundwater Basin,105,
Nevada,,Antelope Valley,Groundwater Basin,106,
Nevada,,Smith Valley,Groundwater Basin,107,
Nevada,,Mason Valley,Groundwater Basin,108,
Nevada,,East Walker Area,Groundwater Basin,109,
Nevada,,Walker Lake Valley-Schurz Sub-Area,Groundwater Basin,110A,
Nevada,,Walker Lake Valley-Lake Sub-Area,Groundwater Basin,110B,
Nevada,,Walker Lake Valley-Whiskey Flat-Hawthorne Sub-Area,Groundwater Basin,110C,
Nevada,,Alkali Valley-Northern Part,Groundwater Basin,111A,
Nevada,,Alkali Valley-Southern Part,Groundwater Basin,111B,
Nevada,,Mono Valley,Groundwater Basin,112,
Nevada,,Huntoon Valley,Groundwater Basin,113,
Nevada,,Teels Marsh Valley,Groundwater Basin,114,
Nevada,,Adobe Valley,Groundwater Basin,115,
Nevada,,Queen Valley,Groundwater Basin,116,
Nevada,,Fish Lake Valley,Groundwater Basin,117,
Nevada,,Columbus Salt Marsh Valley,Groundwater Basin,118,
Nevada,,Rhodes Salt Marsh Valley,Groundwater Basin,119,
Nevada,,Garfield Flat,Groundwater Basin,120,
Nevada,,Soda Springs Valley-Eastern Part,Groundwater Basin,121A,
Nevada,,Soda Springs Valley-Western Part,Groundwater Basin,121B,
Nevada,,Gabbs Valley,Groundwater Basin,122,
Nevada,,Rawhide Flats,Groundwater Basin,123,
Nevada,,Fairview Valley,Groundwater Basin,124,
Nevada,,Stingaree Valley,Groundwater Basin,125,
Nevada,,Cowkick Valley,Groundwater Basin,126,
Nevada,,Eastgate Valley Area,Groundwater Basin,127,
Nevada,,Dixie Valley,Groundwater Basin,128,
Nevada,,Buena Vista Valley,Groundwater Basin,129,
Nevada,,Pleasant Valley - 130,Groundwater Basin,130,
Nevada,,Buffalo Valley,Groundwater Basin,131,
Nevada,,Jersey Valley,Groundwater Basin,132,
Nevada,,Edwards Creek Valley,Groundwater Basin,133,
Nevada,,Smith Creek,Groundwater Basin,134,
Nevada,,Ione Valley,Groundwater Basin,135,
Nevada,,Monte Cristo Valley,Groundwater Basin,136,
Nevada,,Big Smoky Valley-Tonopah Flat,Groundwater Basin,137A,
Nevada,,Big Smoky Valley-Northern Part,Groundwater Basin,137B,
Nevada,,Grass Valley  - 138,Groundwater Basin,138,
Nevada,,Kobeh Valley,Groundwater Basin,139,
Nevada,,Monitor Valley-Northern Part,Groundwater Basin,140A,
Nevada,,Monitor Valley-Southern Part,Groundwater Basin,140B,
Nevada,,Ralston Valley,Groundwater Basin,141,
Nevada,,Alkali Spring Valley,Groundwater Basin,142,
Nevada,,Clayton Valley,Groundwater Basin,143,
Nevada,,Lida Valley,Groundwater Basin,144,
Nevada,,Stonewall Flat,Groundwater Basin,145,
Nevada,,Sarcobatus Flat,Groundwater Basin,146,
Nevada,,Gold Flat,Groundwater Basin,147,
Nevada,,Cactus Flat,Groundwater Basin,148,
Nevada,,Stone Cabin Valley,Groundwater Basin,149,
Nevada,,Little Fish Lake Valley,Groundwater Basin,150,
Nevada,,Antelope Valley - 151,Groundwater Basin,151,
Nevada,,Stevens Basin,Groundwater Basin,152,
Nevada,,Diamond Valley,Groundwater Basin,153,
Nevada,,Newark Valley,Groundwater Basin,154,
Nevada,,Little Smoky Valley-Northern Part,Groundwater Basin,155A,
Nevada,,Little Smoky Valley-Central Part,Groundwater Basin,155B,
Nevada,,Little Smoky Valley-Southern Part,Groundwater Basin,155C,
Nevada,,Hot Creek,Groundwater Basin,156,
Nevada,,Kawich Valley,Groundwater Basin,157,
Nevada,,Emigrant Valley-Groom Lake Valley,Groundwater Basin,158A,
Nevada,,Emigrant Valley-Papoose Valley,Groundwater Basin,158B,
Nevada,,Yucca Flat,Groundwater Basin,159,
Nevada,,Frenchman Flat,Groundwater Basin,160,
Nevada,,Indian Springs Valley,Groundwater Basin,161,
Nevada,,Pahrump Valley,Groundwater Basin,162,
Nevada,,Mesquite Valley (Sandy Valley),Groundwater Basin,163,
Nevada,,Ivanpah Valley-Northern Part,Groundwater Basin,164A,
Nevada,,Ivanpah Valley-Southern Part,Groundwater Basin,164B,
Nevada,,Jean Lake Valley,Groundwater Basin,165,
Nevada,,Hidden Valley - 166,Groundwater Basin,166,
Nevada,,Eldorado Valley,Groundwater Basin,167,
Nevada,,Three Lakes Valley-Northern Part,Groundwater Basin,168,
Nevada,,Tikapoo Valley-Northern Part,Groundwater Basin,169A,
Nevada,,Tikapoo Valley-Southern Part,Groundwater Basin,169B,
Nevada,,Penoyer Valley (Sand Spring Valley),Groundwater Basin,170,
Nevada,,Coal Valley,Groundwater Basin,171,
Nevada,,Garden Valley,Groundwater Basin,172,
Nevada,,Railroad Valley-Southern Part,Groundwater Basin,173A,
Nevada,,Railroad Valley-Northern Part,Groundwater Basin,173B,
Nevada,,Jakes Valley,Groundwater Basin,174,
Nevada,,Long Valley Central,Groundwater Basin,175,
Nevada,,Ruby Valley,Groundwater Basin,176,
Nevada,,Clover Valley - 177,Groundwater Basin,177,
Nevada,,Butte Valley-Northern Part,Groundwater Basin,178A,
Nevada,,Butte Valley-Southern Part,Groundwater Basin,178B,
Nevada,,Steptoe Valley,Groundwater Basin,179,
Nevada,,Cave Valley,Groundwater Basin,180,
Nevada,,Dry Lake Valley,Groundwater Basin,181,
Nevada,,Delamar Valley,Groundwater Basin,182,
Nevada,,Lake Valley,Groundwater Basin,183,
Nevada,,Spring Valley - 184,Groundwater Basin,184,
Nevada,,Tippett Valley,Groundwater Basin,185,
Nevada,,Antelope Valley-Southern Part,Groundwater Basin,186A,
Nevada,,Antelope Valley-Northern Part,Groundwater Basin,186B,
