State,County,Subdivision,Jurisdiction Type,FIPS,Website
Nevada,,Goshute Valley,Groundwater Basin,187,
Nevada,,Independence Valley (Pequop Valley),Groundwater Basin,188,
Nevada,,Thousand Springs Valley- Herrill Siding-Brush Creek Area,Groundwater Basin,189A,
Nevada,,Thousand Springs Valley- Toano-Rock Spring Area,Groundwater Basin,189B,
Nevada,,Thousand Springs Valley- Rocky Butte Area,Groundwater Basin,189C,
Nevada,,Thousand Springs Valley- Montello-Crittenden Creek Area,Groundwater Basin,189D,
Nevada,,Grouse Creek Valley,Groundwater Basin,190,
Nevada,,Pilot Creek Valley,Groundwater Basin,191,
Nevada,,Great Salt Lake Desert,Groundwater Basin,192,
Nevada,,Deep Creek Valley,Groundwater Basin,193,
Nevada,,Pleasant Valley - 194,Groundwater Basin,194,
Nevada,,Snake Valley,Groundwater Basin,195,
Nevada,,Hamlin,Groundwater Basin,196,
Nevada,,Escalante Desert,Groundwater Basin,197,
Nevada,,Dry Valley - 198,Groundwater Basin,198,
Nevada,,Rose Valley,Groundwater Basin,199,
Nevada,,Eagle Valley - 200,Groundwater Basin,200,
Nevada,,Spring Valley - 201,Groundwater Basin,201,
Nevada,,Patterson Valley,Groundwater Basin,202,
Nevada,,Panaca Valley,Groundwater Basin,203,
Nevada,,Clover Valley - 204,Groundwater Basin,204,
Nevada,,Lower Meadow Valley Wash,Groundwater Basin,205,
Nevada,,Kane Springs Valley,Groundwater Basin,206,
Nevada,,White River Valley,Groundwater Basin,207,
Nevada,,Pahroc Valley,Groundwater Basin,208,
Nevada,,Pahranagat Valley,Groundwater Basin,209,
Nevada,,Coyote Springs Valley,Groundwater Basin,210,
Nevada,,Three Lakes Valley-Southern Part,Groundwater Basin,211,
Nevada,,Las Vegas Valley,Groundwater Basin,212,
Nevada,,ado River Valley,Groundwater Basin,213,
Nevada,,Piute Valley,Groundwater Basin,214,
Nevada,,Black Mountains Area,Groundwater Basin,215,
Nevada,,Garnet Valley,Groundwater Basin,216,
Nevada,,Hidden Valley - 217,Groundwater Basin,217,
Nevada,,California Wash,Groundwater Basin,218,
Nevada,,Muddy River Springs Area,Groundwater Basin,219,
Nevada,,Lower Moapa Valley,Groundwater Basin,220,
Nevada,,Tule Desert,Groundwater Basin,221,
Nevada,,Virgin River Valley,Groundwater Basin,222,
Nevada,,Gold Butte Area,Groundwater Basin,223,
Nevada,,Greasewood Area,Groundwater Basin,224,
Nevada,,Mercury Valley,Groundwater Basin,225,
Nevada,,Rock Valley,Groundwater Basin,226,
Nevada,,Fortymile Canyon-Jackass Flats,Groundwater Basin,227A,
Nevada,,Fortymile Canyon-Buckboard Mesa,Groundwater Basin,227B,
Nevada,,Oasis Valley,Groundwater Basin,228,
Nevada,,Crater Flat,Groundwater Basin,229,
Nevada,,Amargosa Desert,Groundwater Basin,230,
Nevada,,Grapevine Canyon,Groundwater Basin,231,
Nevada,,Oriental Wash,Groundwater Basin,232,
